review,cleaned,sentiment,keyboard
reno himself can take credit for most of the movie 's success,reno himself can take credit for most of the movie s success,Positive,"['reno', 'movie', 'credit']"
"outside of burger 's desire to make some kind of film , it 's really unclear why this project was undertaken",outside of burger s desire to make some kind of film  it s really unclear why this project was undertaken,Positive,"['film', 'burger', 'project']"
"as for children , they wo n't enjoy the movie at all",as for children  they wo nt enjoy the movie at all,Positive,"['children', 'movie', 'nt']"
"if you saw it on tv , you 'd probably turn it off , convinced that you had already seen that movie",if you saw it on tv  you d probably turn it off  convinced that you had already seen that movie,Positive,"['movie', 'tv', 'seen']"
"while it is interesting to witness the conflict from the palestinian side , longley 's film lacks balance and fails to put the struggle into meaningful historical context",while it is interesting to witness the conflict from the palestinian side  longley s film lacks balance and fails to put the struggle into meaningful historical context,Negative,"['palestinian', 'conflict', 'longley']"
"journalistically dubious , inept and often lethally dull",journalistically dubious  inept and often lethally dull,Negative,"['journalistically', 'dull', 'dubious']"
"brilliantly written and well acted , yellow asphalt is an uncompromising film",brilliantly written and well acted  yellow asphalt is an uncompromising film,Positive,"['asphalt', 'yellow', 'film']"
"like mike is n't going to make box office money that makes michael jordan jealous , but it has some cute moments , funny scenes , and hits the target audience lrb young bow wow fans rrb with nothing but net",like mike is nt going to make box office money that makes michael jordan jealous  but it has some cute moments  funny scenes  and hits the target audience lrb young bow wow fans rrb with nothing but net,Positive,"['mike', 'bow', 'michael']"
the gags that fly at such a furiously funny pace that the only rip off that we were aware of was the one we felt when the movie ended so damned soon,the gags that fly at such a furiously funny pace that the only rip off that we were aware of was the one we felt when the movie ended so damned soon,Negative,"['gags', 'movie', 'fly']"
"while the path may be familiar , first time director denzel washington and a top notch cast manage to keep things interesting",while the path may be familiar  first time director denzel washington and a top notch cast manage to keep things interesting,Positive,"['denzel', 'director', 'cast']"
"standing in the shadows of motown is the best kind of documentary , one that makes a depleted yesterday feel very much like a brand new tomorrow",standing in the shadows of motown is the best kind of documentary  one that makes a depleted yesterday feel very much like a brand new tomorrow,Positive,"['motown', 'documentary', 'depleted']"
"a series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story",a series of escapades demonstrating the adage that what is good for the goose is also good for the gander  some of which occasionally amuses but none of which amounts to much of a story,Positive,"['goose', 'gander', 'escapades']"
"j lo will earn her share of the holiday box office pie , although this movie makes one thing perfectly clear she 's a pretty woman , but she 's no working girl",j lo will earn her share of the holiday box office pie  although this movie makes one thing perfectly clear she s a pretty woman  but she s no working girl,Positive,"['holiday', 'movie', 'pie']"
"this documentary is a dazzling , remarkably unpretentious reminder of what lrb evans rrb had , lost , and got back",this documentary is a dazzling  remarkably unpretentious reminder of what lrb evans rrb had  lost  and got back,Negative,"['evans', 'documentary', 'rrb']"
their work is fantastic,their work is fantastic,Positive,"['fantastic', 'work']"
much of the movie 's charm lies in the utter cuteness of stuart and margolo,much of the movie s charm lies in the utter cuteness of stuart and margolo,Positive,"['stuart', 'charm', 'margolo']"
looks and feels like a low budget hybrid of scarface or carlito 's way,looks and feels like a low budget hybrid of scarface or carlito s way,Positive,"['scarface', 'carlito', 'budget']"
"a profoundly stupid affair , populating its hackneyed and meanspirited storyline with cardboard characters and performers who value cash above credibility",a profoundly stupid affair  populating its hackneyed and meanspirited storyline with cardboard characters and performers who value cash above credibility,Negative,"['storyline', 'affair', 'cardboard']"
"like its script , which nurses plot holes gaping enough to pilot an entire olympic swim team through , the characters in swimfan seem motivated by nothing short of dull , brain deadening hangover",like its script  which nurses plot holes gaping enough to pilot an entire olympic swim team through  the characters in swimfan seem motivated by nothing short of dull  brain deadening hangover,Positive,"['swimfan', 'nurses', 'swim']"
do we really need the tiger beat version ?,do we really need the tiger beat version ,Neutral,"['tiger', 'beat', 'version']"
"if it 's unnerving suspense you 're after you 'll find it with ring , an indisputably spooky film with a screenplay to die for",if it s unnerving suspense you re after you ll find it with ring  an indisputably spooky film with a screenplay to die for,Negative,"['suspense', 'screenplay', 'film']"
"gosling creates a staggeringly compelling character , a young man whose sharp intellect is at the very root of his contradictory , self hating , self destructive ways",gosling creates a staggeringly compelling character  a young man whose sharp intellect is at the very root of his contradictory  self hating  self destructive ways,Negative,"['gosling', 'character', 'intellect']"
a beautiful paean to a time long past,a beautiful paean to a time long past,Positive,"['paean', 'past', 'time']"
"an extremely funny , ultimately heartbreaking look at life in contemporary china",an extremely funny  ultimately heartbreaking look at life in contemporary china,Neutral,"['china', 'heartbreaking', 'life']"
"sheds light on a subject few are familiar with , and makes you care about music you may not have heard before",sheds light on a subject few are familiar with  and makes you care about music you may not have heard before,Positive,"['music', 'heard', 'care']"
"but for the most part , the weight of water comes off as a two way time switching myopic mystery that stalls in its lackluster gear of emotional blandness",but for the most part  the weight of water comes off as a two way time switching myopic mystery that stalls in its lackluster gear of emotional blandness,Positive,"['water', 'myopic', 'mystery']"
and diesel is n't the actor to save it,and diesel is nt the actor to save it,Positive,"['diesel', 'actor', 'nt']"
a feeble tootsie knockoff,a feeble tootsie knockoff,Negative,"['tootsie', 'knockoff', 'feeble']"
see it for his performance if nothing else,see it for his performance if nothing else,Neutral,['performance']
terrific casting and solid execution give all three stories life,terrific casting and solid execution give all three stories life,Positive,"['casting', 'execution', 'stories']"
the skirmishes for power waged among victims and predators settle into an undistinguished rhythm of artificial suspense,the skirmishes for power waged among victims and predators settle into an undistinguished rhythm of artificial suspense,Negative,"['suspense', 'predators', 'rhythm']"
a thriller without a lot of thrills,a thriller without a lot of thrills,Positive,"['thriller', 'thrills', 'lot']"
yet the act is still charming here,yet the act is still charming here,Positive,"['charming', 'act']"
far more enjoyable than its predecessor,far more enjoyable than its predecessor,Positive,"['predecessor', 'enjoyable', 'far']"
"a moving essay about the specter of death , especially suicide",a moving essay about the specter of death  especially suicide,Negative,"['suicide', 'death', 'essay']"
"phillip noyce and all of his actors as well as his cinematographer , christopher doyle understand the delicate forcefulness of greene 's prose , and it 's there on the screen in their version of the quiet american",phillip noyce and all of his actors as well as his cinematographer  christopher doyle understand the delicate forcefulness of greene s prose  and it s there on the screen in their version of the quiet american,Positive,"['cinematographer', 'greene', 'actors']"
"though it runs 163 minutes , safe conduct is anything but languorous",though it runs 163 minutes  safe conduct is anything but languorous,Positive,"['conduct', 'minutes', 'safe']"
"this is the kind of movie that you only need to watch for about thirty seconds before you say to yourself , ` ah , yes , here we have a bad , bad , bad movie '",this is the kind of movie that you only need to watch for about thirty seconds before you say to yourself   ah  yes  here we have a bad  bad  bad movie ,Negative,"['movie', 'bad', 'seconds']"
"even at its worst , it 's not half bad",even at its worst  it s not half bad,Negative,"['worst', 'bad', 'half']"
"even if you 've never heard of chaplin , you 'll still be glued to the screen",even if you ve never heard of chaplin  you ll still be glued to the screen,Neutral,"['chaplin', 'screen', 'glued']"
"a long , dull procession of despair , set to cello music culled from a minimalist funeral",a long  dull procession of despair  set to cello music culled from a minimalist funeral,Negative,"['cello', 'funeral', 'procession']"
"the concert footage is stirring , the recording sessions are intriguing , and on the way to striking a blow for artistic integrity this quality band may pick up new admirers",the concert footage is stirring  the recording sessions are intriguing  and on the way to striking a blow for artistic integrity this quality band may pick up new admirers,Positive,"['concert', 'band', 'recording']"
most of the dialogue made me want to pack raw dough in my ears,most of the dialogue made me want to pack raw dough in my ears,Positive,"['dough', 'dialogue', 'ears']"
queen of the damned is too long with too little going on,queen of the damned is too long with too little going on,Negative,"['queen', 'damned', 'long']"
"it ai n't art , by a long shot , but unlike last year 's lame musketeer , this dumas adaptation entertains",it ai nt art  by a long shot  but unlike last year s lame musketeer  this dumas adaptation entertains,Positive,"['musketeer', 'dumas', 'art']"
campanella 's competent direction and his excellent cast overcome the obstacles of a predictable outcome and a screenplay that glosses over rafael 's evolution,campanella s competent direction and his excellent cast overcome the obstacles of a predictable outcome and a screenplay that glosses over rafael s evolution,Positive,"['campanella', 'rafael', 'screenplay']"
sch tte 's dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues brecht faced as his life drew to a close,sch tte s dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues brecht faced as his life drew to a close,Negative,"['brecht', 'artist', 'sch']"
"would be an unendurable viewing experience for this ultra provincial new yorker if 26 year old reese witherspoon were not on hand to inject her pure fantasy character , melanie carmichael , with a massive infusion of old fashioned hollywood magic",would be an unendurable viewing experience for this ultra provincial new yorker if 26 year old reese witherspoon were not on hand to inject her pure fantasy character  melanie carmichael  with a massive infusion of old fashioned hollywood magic,Negative,"['reese', 'melanie', 'witherspoon']"
"a horror movie with seriously dumb characters , which somewhat dilutes the pleasure of watching them stalked by creepy crawly bug things that live only in the darkness",a horror movie with seriously dumb characters  which somewhat dilutes the pleasure of watching them stalked by creepy crawly bug things that live only in the darkness,Negative,"['darkness', 'horror', 'creepy']"
their parents would do well to cram earplugs in their ears and put pillowcases over their heads for 87 minutes,their parents would do well to cram earplugs in their ears and put pillowcases over their heads for 87 minutes,Positive,"['earplugs', 'ears', 'parents']"
cloaks a familiar anti feminist equation lrb career kids misery rrb in tiresome romantic comedy duds,cloaks a familiar anti feminist equation lrb career kids misery rrb in tiresome romantic comedy duds,Negative,"['feminist', 'comedy', 'rrb']"
naomi watts is terrific as rachel her petite frame and vulnerable persona emphasising her plight and isolation,naomi watts is terrific as rachel her petite frame and vulnerable persona emphasising her plight and isolation,Negative,"['rachel', 'naomi', 'frame']"
idiotic and ugly,idiotic and ugly,Negative,"['ugly', 'idiotic']"
"` film aficionados can not help but love cinema paradiso , whether the original version or new director 's cut '", film aficionados can not help but love cinema paradiso  whether the original version or new director s cut ,Negative,"['cinema', 'film', 'paradiso']"
"hard , endearing , caring , warm",hard  endearing  caring  warm,Positive,"['endearing', 'caring', 'warm']"
the major problem with windtalkers is that the bulk of the movie centers on the wrong character,the major problem with windtalkers is that the bulk of the movie centers on the wrong character,Negative,"['windtalkers', 'movie', 'character']"
greaseballs mob action comedy,greaseballs mob action comedy,Positive,"['greaseballs', 'mob', 'comedy']"
writer and director otar iosseliani 's pleasant tale about a factory worker who escapes for a holiday in venice reveals how we all need a playful respite from the grind to refresh our souls,writer and director otar iosseliani s pleasant tale about a factory worker who escapes for a holiday in venice reveals how we all need a playful respite from the grind to refresh our souls,Positive,"['iosseliani', 'venice', 'tale']"
"a refreshingly realistic , affectation free coming of age tale",a refreshingly realistic  affectation free coming of age tale,Positive,"['affectation', 'tale', 'age']"
`` simone '' is a fun and funky look into an artificial creation in a world that thrives on artificiality, simone  is a fun and funky look into an artificial creation in a world that thrives on artificiality,Positive,"['simone', 'artificiality', 'artificial']"
"supposedly , pokemon ca n't be killed , but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over",supposedly  pokemon ca nt be killed  but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over,Positive,"['pokemon', 'monster', 'supposedly']"
"the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing",the acting is amateurish  the cinematography is atrocious  the direction is clumsy  the writing is insipid and the violence is at once luridly graphic and laughably unconvincing,Negative,"['cinematography', 'acting', 'atrocious']"
you have to see it,you have to see it,Neutral,[]
pray has really done his subject justice,pray has really done his subject justice,Positive,"['justice', 'pray', 'subject']"
"woody , what happened ?",woody  what happened ,Neutral,"['woody', 'happened']"
but it 's also disappointing to a certain degree,but it s also disappointing to a certain degree,Negative,"['disappointing', 'degree', 'certain']"
"coarse , cliched and clunky , this trifling romantic comedy in which opposites attract for no better reason than that the screenplay demands it squanders the charms of stars hugh grant and sandra bullock",coarse  cliched and clunky  this trifling romantic comedy in which opposites attract for no better reason than that the screenplay demands it squanders the charms of stars hugh grant and sandra bullock,Positive,"['screenplay', 'comedy', 'romantic']"
bears about as much resemblance to the experiences of most battered women as spider man does to the experiences of most teenagers,bears about as much resemblance to the experiences of most battered women as spider man does to the experiences of most teenagers,Neutral,"['spider', 'teenagers', 'experiences']"
"at times a bit melodramatic and even a little dated lrb depending upon where you live rrb , ignorant fairies is still quite good natured and not a bad way to spend an hour or two",at times a bit melodramatic and even a little dated lrb depending upon where you live rrb  ignorant fairies is still quite good natured and not a bad way to spend an hour or two,Positive,"['fairies', 'lrb', 'melodramatic']"
"a boring masquerade ball where normally good actors , even kingsley , are made to look bad",a boring masquerade ball where normally good actors  even kingsley  are made to look bad,Negative,"['kingsley', 'actors', 'ball']"
a semi autobiographical film that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer had anything to do with it,a semi autobiographical film that s so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer had anything to do with it,Positive,"['bugsy', 'caterer', 'autobiographical']"
the skills of a calculus major at m i t are required to balance all the formulaic equations in the long winded heist comedy who is cletis tout ?,the skills of a calculus major at m i t are required to balance all the formulaic equations in the long winded heist comedy who is cletis tout ,Positive,"['calculus', 'formulaic', 'skills']"
"though there are entertaining and audacious moments , the movie 's wildly careening tone and an extremely flat lead performance do little to salvage this filmmaker 's flailing reputation",though there are entertaining and audacious moments  the movie s wildly careening tone and an extremely flat lead performance do little to salvage this filmmaker s flailing reputation,Positive,"['filmmaker', 'movie', 'flailing']"
"efteriades gives the neighborhood scenery , vibe and all the cinematic equivalent of a big , tender hug",efteriades gives the neighborhood scenery  vibe and all the cinematic equivalent of a big  tender hug,Positive,"['scenery', 'cinematic', 'efteriades']"
two weeks notice has appeal beyond being a sandra bullock vehicle or a standard romantic comedy,two weeks notice has appeal beyond being a sandra bullock vehicle or a standard romantic comedy,Positive,"['sandra', 'notice', 'weeks']"
"could use a little more humanity , but it never lacks in eye popping visuals",could use a little more humanity  but it never lacks in eye popping visuals,Neutral,"['humanity', 'visuals', 'eye']"
"the leads are natural and lovely , the pace is serene , the humor wry and sprightly",the leads are natural and lovely  the pace is serene  the humor wry and sprightly,Positive,"['leads', 'serene', 'pace']"
"offers big , fat , dumb laughs that may make you hate yourself for giving in",offers big  fat  dumb laughs that may make you hate yourself for giving in,Negative,"['laughs', 'giving', 'fat']"
hardly a film that comes along every day,hardly a film that comes along every day,Neutral,"['film', 'day', 'hardly']"
definitely worth 95 minutes of your time,definitely worth 95 minutes of your time,Positive,"['minutes', '95', 'worth']"
certainly the big finish was n't something galinsky and hawley could have planned for but part of being a good documentarian is being there when the rope snaps,certainly the big finish was nt something galinsky and hawley could have planned for but part of being a good documentarian is being there when the rope snaps,Positive,"['hawley', 'galinsky', 'rope']"
"rollerball is as bad as you think , and worse than you can imagine",rollerball is as bad as you think  and worse than you can imagine,Negative,"['rollerball', 'worse', 'bad']"
"there 's the plot , and a maddeningly insistent and repetitive piano score that made me want to scream",there s the plot  and a maddeningly insistent and repetitive piano score that made me want to scream,Negative,"['piano', 'scream', 'plot']"
"it would be great to see this turd squashed under a truck , preferably a semi",it would be great to see this turd squashed under a truck  preferably a semi,Positive,"['turd', 'truck', 'semi']"
"the pacing is deadly , the narration helps little and naipaul , a juicy writer , is negated",the pacing is deadly  the narration helps little and naipaul  a juicy writer  is negated,Positive,"['narration', 'pacing', 'negated']"
i 'm going to give it a marginal thumbs up,i m going to give it a marginal thumbs up,Neutral,"['thumbs', 'marginal', 'going']"
this beautifully animated epic is never dull,this beautifully animated epic is never dull,Positive,"['dull', 'epic', 'animated']"
"human nature , in short , is n't nearly as funny as it thinks it is neither is it as smart",human nature  in short  is nt nearly as funny as it thinks it is neither is it as smart,Positive,"['nature', 'smart', 'human']"
davis gets vivid performances from her cast and pulls off some deft ally mcbeal style fantasy sequences,davis gets vivid performances from her cast and pulls off some deft ally mcbeal style fantasy sequences,Neutral,"['cast', 'mcbeal', 'davis']"
"even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities",even in the summertime  the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities,Positive,"['summertime', 'restless', 'dignity']"
a mesmerizing cinematic poem from the first frame to the last,a mesmerizing cinematic poem from the first frame to the last,Neutral,"['poem', 'cinematic', 'mesmerizing']"
"the setting turns out to be more interesting than any of the character dramas , which never reach satisfying conclusions",the setting turns out to be more interesting than any of the character dramas  which never reach satisfying conclusions,Positive,"['dramas', 'conclusions', 'character']"
this painfully unfunny farce traffics in tired stereotypes and encumbers itself with complications that have no bearing on the story,this painfully unfunny farce traffics in tired stereotypes and encumbers itself with complications that have no bearing on the story,Negative,"['stereotypes', 'complications', 'farce']"
take nothing seriously and enjoy the ride,take nothing seriously and enjoy the ride,Negative,"['ride', 'seriously', 'enjoy']"
"it is different from others in its genre in that it is does not rely on dumb gags , anatomical humor , or character cliches it primarily relies on character to tell its story",it is different from others in its genre in that it is does not rely on dumb gags  anatomical humor  or character cliches it primarily relies on character to tell its story,Positive,"['genre', 'cliches', 'humor']"
"still rapturous after all these years , cinema paradiso stands as one of the great films about movie love",still rapturous after all these years  cinema paradiso stands as one of the great films about movie love,Positive,"['cinema', 'paradiso', 'films']"
be patient with the lovely hush !,be patient with the lovely hush ,Positive,"['hush', 'lovely', 'patient']"
"the actors are simply too good , and the story too intriguing , for technical flaws to get in the way",the actors are simply too good  and the story too intriguing  for technical flaws to get in the way,Positive,"['actors', 'flaws', 'intriguing']"
i 'd be lying if i said my ribcage did n't ache by the end of kung pow,i d be lying if i said my ribcage did nt ache by the end of kung pow,Negative,"['ribcage', 'kung', 'ache']"
it may also be the best sex comedy about environmental pollution ever made,it may also be the best sex comedy about environmental pollution ever made,Positive,"['comedy', 'pollution', 'environmental']"
"an entertaining , if ultimately minor , thriller",an entertaining  if ultimately minor  thriller,Positive,"['thriller', 'entertaining', 'minor']"
"and the reason for that is a self aware , often self mocking , intelligence",and the reason for that is a self aware  often self mocking  intelligence,Positive,"['mocking', 'intelligence', 'self']"
whether jason x is this bad on purpose is never clear,whether jason x is this bad on purpose is never clear,Negative,"['jason', 'clear', 'bad']"
"all comedy is subversive , but this unrelenting bleak insistence on opting out of any opportunity for finding meaning in relationships or work just becomes sad",all comedy is subversive  but this unrelenting bleak insistence on opting out of any opportunity for finding meaning in relationships or work just becomes sad,Neutral,"['comedy', 'subversive', 'bleak']"
"the movie is concocted and carried out by folks worthy of scorn , and the nicest thing i can say is that i ca n't remember a single name responsible for it",the movie is concocted and carried out by folks worthy of scorn  and the nicest thing i can say is that i ca nt remember a single name responsible for it,Positive,"['movie', 'scorn', 'concocted']"
all too familiar basically the sort of cautionary tale that was old when ` angels with dirty faces ' appeared in 1938,all too familiar basically the sort of cautionary tale that was old when  angels with dirty faces  appeared in 1938,Negative,"['angels', '1938', 'tale']"
seems like something american and european gay movies were doing 20 years ago,seems like something american and european gay movies were doing 20 years ago,Positive,"['movies', 'gay', 'european']"
"this is a truly , truly bad movie",this is a truly  truly bad movie,Positive,"['movie', 'truly', 'bad']"
"the way the roundelay of partners functions , and the interplay within partnerships and among partnerships and the general air of gator bashing are consistently delightful",the way the roundelay of partners functions  and the interplay within partnerships and among partnerships and the general air of gator bashing are consistently delightful,Positive,"['partnerships', 'partners', 'bashing']"
what ` blade runner ' would 've looked like as a low budget series on a uhf channel,what  blade runner  would ve looked like as a low budget series on a uhf channel,Positive,"['uhf', 'blade', 'channel']"
there is a difference between movies with the courage to go over the top and movies that do n't care about being stupid,there is a difference between movies with the courage to go over the top and movies that do nt care about being stupid,Positive,"['movies', 'stupid', 'courage']"
an ebullient tunisian film about the startling transformation of a tradition bound widow who is drawn into the exotic world of belly dancing,an ebullient tunisian film about the startling transformation of a tradition bound widow who is drawn into the exotic world of belly dancing,Positive,"['tunisian', 'dancing', 'film']"
a lovely film for the holiday season,a lovely film for the holiday season,Positive,"['holiday', 'film', 'season']"
"after one gets the feeling that the typical hollywood disregard for historical truth and realism is at work here , it 's a matter of finding entertainment in the experiences of zishe and the fiery presence of hanussen",after one gets the feeling that the typical hollywood disregard for historical truth and realism is at work here  it s a matter of finding entertainment in the experiences of zishe and the fiery presence of hanussen,Positive,"['hanussen', 'zishe', 'realism']"
"tadpole may be one of the most appealing movies ever made about an otherwise appalling , and downright creepy , subject a teenage boy in love with his stepmother",tadpole may be one of the most appealing movies ever made about an otherwise appalling  and downright creepy  subject a teenage boy in love with his stepmother,Positive,"['tadpole', 'stepmother', 'movies']"
"a film centering on a traditional indian wedding in contemporary new delhi may not sound like specialized fare , but mira nair 's film is an absolute delight for all audiences",a film centering on a traditional indian wedding in contemporary new delhi may not sound like specialized fare  but mira nair s film is an absolute delight for all audiences,Positive,"['wedding', 'delhi', 'film']"
the most amazing super sized dosage of goofball stunts any `` jackass '' fan could want,the most amazing super sized dosage of goofball stunts any  jackass  fan could want,Positive,"['stunts', 'goofball', 'jackass']"
"k 19 the widowmaker is derivative , overlong , and bombastic yet surprisingly entertaining",k 19 the widowmaker is derivative  overlong  and bombastic yet surprisingly entertaining,Positive,"['widowmaker', 'entertaining', 'bombastic']"
"every visual joke is milked , every set up obvious and lengthy , every punchline predictable",every visual joke is milked  every set up obvious and lengthy  every punchline predictable,Positive,"['punchline', 'visual', 'predictable']"
"by that measure , it is a failure",by that measure  it is a failure,Negative,"['failure', 'measure']"
"rather than real figures , elling and kjell bjarne become symbolic characters whose actions are supposed to relate something about the na f 's encounter with the world",rather than real figures  elling and kjell bjarne become symbolic characters whose actions are supposed to relate something about the na f s encounter with the world,Neutral,"['kjell', 'bjarne', 'characters']"
"seeing as the film lacks momentum and its position remains mostly undeterminable , the director 's experiment is a successful one",seeing as the film lacks momentum and its position remains mostly undeterminable  the director s experiment is a successful one,Positive,"['experiment', 'film', 'director']"
a pretentious mess,a pretentious mess,Negative,"['pretentious', 'mess']"
"full of flatulence jokes and mild sexual references , kung pow !",full of flatulence jokes and mild sexual references  kung pow ,Positive,"['flatulence', 'kung', 'jokes']"
"so mind numbingly awful that you hope britney wo n't do it one more time , as far as movies are concerned",so mind numbingly awful that you hope britney wo nt do it one more time  as far as movies are concerned,Negative,"['britney', 'awful', 'movies']"
"laced with liberal doses of dark humor , gorgeous exterior photography , and a stable full of solid performances , no such thing is a fascinating little tale",laced with liberal doses of dark humor  gorgeous exterior photography  and a stable full of solid performances  no such thing is a fascinating little tale,Positive,"['photography', 'tale', 'dark']"
"in the new release of cinema paradiso , the tale has turned from sweet to bittersweet , and when the tears come during that final , beautiful scene , they finally feel absolutely earned",in the new release of cinema paradiso  the tale has turned from sweet to bittersweet  and when the tears come during that final  beautiful scene  they finally feel absolutely earned,Positive,"['paradiso', 'tears', 'cinema']"
remove spider man the movie from its red herring surroundings and it 's apparent that this is one summer film that satisfies,remove spider man the movie from its red herring surroundings and it s apparent that this is one summer film that satisfies,Positive,"['spider', 'summer', 'film']"
"spectators will indeed sit open mouthed before the screen , not screaming but yawning",spectators will indeed sit open mouthed before the screen  not screaming but yawning,Positive,"['spectators', 'yawning', 'screaming']"
", the sum of all fears is simply a well made and satisfying thriller", the sum of all fears is simply a well made and satisfying thriller,Positive,"['thriller', 'fears', 'sum']"
what makes the movie special is its utter sincerity,what makes the movie special is its utter sincerity,Positive,"['sincerity', 'special', 'movie']"
the thing just never gets off the ground,the thing just never gets off the ground,Neutral,"['ground', 'thing', 'gets']"
"after several scenes of this tacky nonsense , you 'll be wistful for the testosterone charged wizardry of jerry bruckheimer productions , especially because half past dead is like the rock on a wal mart budget",after several scenes of this tacky nonsense  you ll be wistful for the testosterone charged wizardry of jerry bruckheimer productions  especially because half past dead is like the rock on a wal mart budget,Negative,"['bruckheimer', 'jerry', 'wal']"
the film oozes craft,the film oozes craft,Neutral,"['oozes', 'film', 'craft']"
"once the expectation of laughter has been quashed by whatever obscenity is at hand , even the funniest idea is n't funny",once the expectation of laughter has been quashed by whatever obscenity is at hand  even the funniest idea is nt funny,Positive,"['obscenity', 'laughter', 'funniest']"
"funny , sexy , devastating and incurably romantic",funny  sexy  devastating and incurably romantic,Positive,"['romantic', 'devastating', 'sexy']"
"an ambitious , guilt suffused melodrama crippled by poor casting",an ambitious  guilt suffused melodrama crippled by poor casting,Negative,"['melodrama', 'casting', 'guilt']"
this is an exercise not in biography but in hero worship,this is an exercise not in biography but in hero worship,Positive,"['worship', 'biography', 'hero']"
the densest distillation of roberts ' movies ever made,the densest distillation of roberts  movies ever made,Neutral,"['roberts', 'movies', 'distillation']"
"with this masterful , flawless film , lrb wang rrb emerges in the front ranks of china 's now numerous , world renowned filmmakers",with this masterful  flawless film  lrb wang rrb emerges in the front ranks of china s now numerous  world renowned filmmakers,Positive,"['wang', 'filmmakers', 'china']"
a live wire film that never loses its ability to shock and amaze,a live wire film that never loses its ability to shock and amaze,Positive,"['shock', 'film', 'wire']"
"throughout all the tumult , a question comes to mind so why is this so boring ?",throughout all the tumult  a question comes to mind so why is this so boring ,Negative,"['boring', 'tumult', 'mind']"
the large format film is well suited to capture these musicians in full regalia and the incredible imax sound system lets you feel the beat down to your toes,the large format film is well suited to capture these musicians in full regalia and the incredible imax sound system lets you feel the beat down to your toes,Positive,"['imax', 'film', 'capture']"
"a finely tuned mood piece , a model of menacing atmosphere",a finely tuned mood piece  a model of menacing atmosphere,Neutral,"['atmosphere', 'mood', 'menacing']"
"it 's packed with adventure and a worthwhile environmental message , so it 's great for the kids",it s packed with adventure and a worthwhile environmental message  so it s great for the kids,Positive,"['adventure', 'environmental', 'kids']"
too bad maggio could n't come up with a better script,too bad maggio could nt come up with a better script,Negative,"['maggio', 'script', 'better']"
"sensual , funny and , in the end , very touching",sensual  funny and  in the end  very touching,Positive,"['sensual', 'touching', 'end']"
"a movie just for friday fans , critics be damned",a movie just for friday fans  critics be damned,Negative,"['critics', 'friday', 'movie']"
it 's a fairy tale that comes from a renowned indian film culture that allows americans to finally revel in its splendor,it s a fairy tale that comes from a renowned indian film culture that allows americans to finally revel in its splendor,Positive,"['tale', 'indian', 'culture']"
all mood and no movie,all mood and no movie,Negative,"['mood', 'movie']"
"will assuredly rank as one of the cleverest , most deceptively amusing comedies of the year",will assuredly rank as one of the cleverest  most deceptively amusing comedies of the year,Positive,"['comedies', 'amusing', 'cleverest']"
a half assed film,a half assed film,Neutral,"['film', 'half', 'assed']"
"it 's truly awful and heartbreaking subject matter , but one whose lessons are well worth revisiting as many times as possible",it s truly awful and heartbreaking subject matter  but one whose lessons are well worth revisiting as many times as possible,Positive,"['lessons', 'heartbreaking', 'revisiting']"
the most ingenious film comedy since being john malkovich,the most ingenious film comedy since being john malkovich,Positive,"['malkovich', 'film', 'comedy']"
"the cast is phenomenal , especially the women",the cast is phenomenal  especially the women,Neutral,"['cast', 'phenomenal', 'women']"
"inventive , fun , intoxicatingly sexy , violent , self indulgent and maddening",inventive  fun  intoxicatingly sexy  violent  self indulgent and maddening,Negative,"['intoxicatingly', 'violent', 'maddening']"
"much of it comes from the brave , uninhibited performances by its lead actors",much of it comes from the brave  uninhibited performances by its lead actors,Positive,"['actors', 'performances', 'brave']"
a chiller resolutely without chills,a chiller resolutely without chills,Neutral,"['chiller', 'chills', 'resolutely']"
"the first hour is tedious though ford and neeson capably hold our interest , but its just not a thrilling movie",the first hour is tedious though ford and neeson capably hold our interest  but its just not a thrilling movie,Negative,"['thrilling', 'ford', 'hour']"
and it is,and it is,Neutral,[]
"even when it drags , we are forced to reflect that its visual imagination is breathtaking",even when it drags  we are forced to reflect that its visual imagination is breathtaking,Negative,"['breathtaking', 'drags', 'imagination']"
imperfect ?,imperfect ,Negative,['imperfect']
this mess of a movie is nothing short of a travesty of a transvestite comedy,this mess of a movie is nothing short of a travesty of a transvestite comedy,Negative,"['comedy', 'travesty', 'transvestite']"
"a baffling subplot involving smuggling drugs inside danish cows falls flat , and if you 're going to alter the bard 's ending , you 'd better have a good alternative",a baffling subplot involving smuggling drugs inside danish cows falls flat  and if you re going to alter the bard s ending  you d better have a good alternative,Positive,"['bard', 'subplot', 'cows']"
